name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,1266071.0,2002615.0,3268686.0,5044.397723076203,7906.164350563723,6481.842259916863,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,1168952.0,1821557.0,2990509.0,5204.7584978045,8095.523858986354,6651.475275552569,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,895716.0,1429125.0,2324841.0,6495.698340139224,10357.252981656597,8427.10062255499,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,759666.0,1230993.0,1990659.0,6859.072819541039,11110.427423326277,8985.160140112504,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,728238.0,1193300.0,1921538.0,6850.757648249954,11221.190776346684,9036.416901121984,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,451787.0,832325.0,1284112.0,7330.9150799572735,13496.412108178449,10414.72502726188,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,3067.0,3614.0,6681.0,6308.26584393881,7434.540837645849,6871.358092146495,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,567.0,541.0,1108.0,4473.372781065089,4270.877019859381,4372.156113200567,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,404.0,569.0,973.0,3452.0694259012016,4863.247863247863,4157.564427827479,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,1568.0,1507.0,3075.0,8439.323858380287,8113.055181695828,8276.21010134993,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,528.0,989.0,1517.0,9412.813370473536,17611.574846967167,13514.476614699332,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
"Frontal pole, layer 6b",FRP6b,0.000515625,0.00053125,0.001046875,0.0,8.0,8.0,0.0,15058.823529411764,7641.791044776119,11,7,11,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6b,268F45,258F44
Somatomotor areas,MO,12.231046875,12.226390625,24.4574375,57008.0,141829.0,198837.0,4660.925641330272,11600.234635886254,8129.91957967796,6,6,12,root/grey/CH/CTX/CTXpl/Isocortex/MO,1F9D5A,1F9C59
Primary motor area,MOp,5.676734375,5.676359375,11.35309375,28618.0,78465.0,107083.0,5041.278684102601,13823.12056308098,9432.054588644616,8,7,18,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp,1F9D5A,1E9B5A
"Primary motor area, Layer 1",MOp1,0.664609375,0.665328125,1.3299375,752.0,6941.0,7693.0,1131.4917127071824,10432.446396280033,5784.482353494055,11,8,19,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp1,1F9D5A,1E9D5A
