name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,1755390.0,1112920.0,2868310.0,6993.98795100017,4393.719426364718,5687.892006923314,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,1520487.0,933613.0,2454100.0,6769.968000440797,4149.245023109256,5458.397040013442,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,1068887.0,570899.0,1639786.0,7751.527841075067,4137.458493815984,5943.9082592990035,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,920438.0,480814.0,1401252.0,8310.693473016714,4339.625855808441,6324.776677800129,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,890096.0,470283.0,1360379.0,8373.405369778413,4422.303915086439,6397.454428448162,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,495630.0,245070.0,740700.0,8042.332871639122,3973.887262008581,6007.40965561639,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,3343.0,3253.0,6596.0,6875.948065304024,6691.909613962907,6783.936233467787,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,927.0,1631.0,2558.0,7313.609467455622,12875.786357468854,10093.840557370984,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,870.0,451.0,1321.0,7433.911882510013,3854.7008547008545,5644.5453331552935,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,1221.0,812.0,2033.0,6571.6928769657725,4371.467025572006,5471.718743429076,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,323.0,359.0,682.0,5758.217270194987,6392.877017250974,6075.723830734967,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
"Frontal pole, layer 6b",FRP6b,0.000515625,0.00053125,0.001046875,2.0,0.0,2.0,3878.7878787878785,0.0,1910.4477611940297,11,7,11,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6b,268F45,258F44
Somatomotor areas,MO,12.231046875,12.226390625,24.4574375,88162.0,41691.0,129853.0,7208.050210338189,3409.918861479203,5309.346083374433,6,6,12,root/grey/CH/CTX/CTXpl/Isocortex/MO,1F9D5A,1F9C59
Primary motor area,MOp,5.676734375,5.676359375,11.35309375,44502.0,13679.0,58181.0,7839.366272972743,2409.819233828902,5124.682424118977,8,7,18,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp,1F9D5A,1E9B5A
"Primary motor area, Layer 1",MOp1,0.664609375,0.665328125,1.3299375,6836.0,2796.0,9632.0,10285.741154343485,4202.4377069585025,7242.445603646788,11,8,19,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp1,1F9D5A,1E9D5A
"Primary motor area, Layer 2/3",MOp2/3,1.8444375,1.844640625,3.689078125,11368.0,4678.0,16046.0,6163.396699535767,2535.9953242925026,4349.596147411489,11,8,20,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp2/3,1F9D5A,1F9C58
"Primary motor area, Layer 5",MOp5,1.636203125,1.6365625,3.272765625,10728.0,2355.0,13083.0,6556.643142947181,1438.9917891922858,3997.536487202624,11,8,21,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp5,1F9D5A,1E9C5A
"Primary motor area, Layer 6a",MOp6a,1.437953125,1.438171875,2.876125,14876.0,3665.0,18541.0,10345.260733029809,2548.374129482959,6446.520926593941,11,8,22,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp6a,1F9D5A,1F9B5A
"Primary motor area, Layer 6b",MOp6b,0.09353125,0.09165625,0.1851875,694.0,185.0,879.0,7419.9799532241905,2018.4111830889872,4746.540668241647,11,8,23,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp6b,1F9D5A,1D9D5A
Secondary motor area,MOs,6.5543125,6.55003125,13.10434375,43660.0,28012.0,71672.0,6661.263099676739,4276.620817648771,5469.3314955203305,8,7,24,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs,1F9D5A,1D9D59
"Secondary motor area, layer 1",MOs1,1.1643125,1.159859375,2.324171875,9922.0,11274.0,21196.0,8521.767137259112,9720.143875200389,9119.80745830168,11,8,25,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs1,1F9D5A,1E9C59
"Secondary motor area, layer 2/3",MOs2/3,1.901640625,1.902859375,3.8045,9042.0,7123.0,16165.0,4754.841625241363,3743.313927231223,4248.915757655408,11,8,26,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs2/3,1F9D5A,1E9D58
"Secondary motor area, layer 5",MOs5,2.26159375,2.261203125,4.522796875,12900.0,5855.0,18755.0,5703.942186787526,2589.3295189922396,4146.770354350702,11,8,27,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs5,1F9D5A,1F9D58
"Secondary motor area, layer 6a",MOs6a,1.189171875,1.188921875,2.3780937499999997,11491.0,3637.0,15128.0,9663.027054016056,3059.0740034958144,6361.397653057203,11,8,28,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs6a,1F9D5A,1D9C5A
"Secondary motor area, layer 6b",MOs6b,0.03759375,0.0371875,0.07478125,305.0,123.0,428.0,8113.050706566915,3307.563025210084,5723.35979941496,11,8,29,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs6b,1F9D5A,1E9C58
Somatosensory areas,SS,16.666171875,16.666015625,33.3321875,159812.0,65414.0,225226.0,9589.004673576246,3924.993320051564,6757.01227229686,6,6,30,root/grey/CH/CTX/CTXpl/Isocortex/SS,188064,1B8061
Primary somatosensory area,SSp,12.1535,12.1554375,24.3089375,119412.0,45826.0,165238.0,9825.317809684451,3770.0000514173184,6797.417616463081,8,7,37,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp,188064,198063
"Primary somatosensory area, nose",SSp-n,1.509703125,1.5095625,3.019265625,18283.0,5703.0,23986.0,12110.327982529678,3777.9157868587754,7944.315929473744,9,8,44,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-n,188064,1A8064
"Primary somatosensory area, nose, layer 1",SSp-n1,0.2028125,0.202515625,0.405328125,1001.0,1448.0,2449.0,4935.593220338983,7150.065581359463,6042.018426429204,11,9,45,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-n/SSp-n1,188064,197E63
"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,0.3201875,0.32015625,0.64034375,2803.0,1388.0,4191.0,8754.24555924263,4335.383113714007,6544.9221609487095,11,9,46,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-n/SSp-n2/3,188064,1B7F64
"Primary somatosensory area, nose, layer 4",SSp-n4,0.274109375,0.273953125,0.5480625,4474.0,1205.0,5679.0,16321.951775637006,4398.562710317687,10361.956893602464,11,9,47,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-n/SSp-n4,188064,1A8062
"Primary somatosensory area, nose, layer 5",SSp-n5,0.283515625,0.283515625,0.56703125,3442.0,510.0,3952.0,12140.42435932764,1798.842656379168,6969.633507853403,11,9,48,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-n/SSp-n5,188064,197E62
"Primary somatosensory area, nose, layer 6a",SSp-n6a,0.402328125,0.402546875,0.804875,6159.0,1075.0,7234.0,15308.40032622626,2670.496448394985,8987.731014132629,11,9,49,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-n/SSp-n6a,188064,187D62
"Primary somatosensory area, nose, layer 6b",SSp-n6b,0.02675,0.026875,0.053625,404.0,77.0,481.0,15102.803738317758,2865.1162790697676,8969.69696969697,11,9,50,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-n/SSp-n6b,188064,1B7E64
"Primary somatosensory area, barrel field",SSp-bfd,3.145734375,3.144515625,6.29025,34511.0,17147.0,51658.0,10970.7292116805,5452.986101794295,8212.392194268908,9,8,51,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-bfd,188064,197F64
"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,0.419375,0.41946875,0.83884375,2884.0,5196.0,8080.0,6876.900149031297,12387.09677419355,9632.306374101256,11,9,52,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-bfd/SSp-bfd1,188064,188060
"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,0.75821875,0.75809375,1.5163125000000002,5932.0,3973.0,9905.0,7823.599719737872,5240.776618986768,6532.294629240344,11,9,53,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-bfd/SSp-bfd2/3,188064,187F63
"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,0.641265625,0.641375,1.282640625,9377.0,3402.0,12779.0,14622.645647035892,5304.2291950886765,9963.040114997137,11,9,54,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-bfd/SSp-bfd4,188064,197C64
"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,0.603984375,0.6041875,1.208171875,6242.0,1876.0,8118.0,10334.704436683482,3104.996379435192,6719.242657424052,11,9,55,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-bfd/SSp-bfd5,188064,1A7D62
"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,0.648828125,0.64875,1.297578125,9050.0,2494.0,11544.0,13948.223961468995,3844.3159922928703,8896.574146547053,11,9,56,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-bfd/SSp-bfd6a,188064,198060
"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,0.0740625,0.072640625,0.146703125,1026.0,206.0,1232.0,13853.164556962023,2835.878683587868,8397.912450740228,11,9,57,root/grey/CH/CTX/CTXpl/Isocortex/SS/SSp/SSp-bfd/SSp-bfd6b,188064,1A7E61
