name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,1162833.0,781375.0,1944208.0,4633.067290474129,3084.8062006035757,3855.38701988152,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,1024607.0,633980.0,1658587.0,4562.062420150678,2817.589686252019,3689.020973637902,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,700648.0,378987.0,1079635.0,5081.072628625442,2746.620649529669,3913.468826742197,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,612593.0,320741.0,933334.0,5531.141311762148,2894.8739775003537,4212.753391822389,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,597112.0,311485.0,908597.0,5617.215252241474,2929.0476904134307,4272.859182128446,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,336664.0,153854.0,490518.0,5462.873421498927,2494.791083400939,3978.321276432619,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,2114.0,2335.0,4449.0,4348.116724514719,4803.445726591881,4575.762932489112,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,509.0,746.0,1255.0,4015.7790927021697,5889.231528308869,4952.2165361612915,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,628.0,691.0,1319.0,5366.088117489987,5905.982905982905,5635.999465883295,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,749.0,710.0,1459.0,4031.284164494155,3822.341857335128,3926.826191177089,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,225.0,187.0,412.0,4011.142061281337,3329.9944351697272,3670.378619153675,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
"Frontal pole, layer 6b",FRP6b,0.000515625,0.00053125,0.001046875,3.0,1.0,4.0,5818.181818181818,1882.3529411764705,3820.8955223880594,11,7,11,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6b,268F45,258F44
Somatomotor areas,MO,12.231046875,12.226390625,24.4574375,54690.0,30329.0,85019.0,4471.407930893078,2480.6176189058247,3476.202279981294,6,6,12,root/grey/CH/CTX/CTXpl/Isocortex/MO,1F9D5A,1F9C59
Primary motor area,MOp,5.676734375,5.676359375,11.35309375,32192.0,12172.0,44364.0,5670.866007360086,2144.33216712957,3907.6573290870606,8,7,18,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp,1F9D5A,1E9B5A
