name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,2255088.0,2391678.0,4646766.0,8984.931155153596,9442.15405438766,9214.590887820012,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,2024068.0,2139808.0,4163876.0,9012.162281371826,9509.922949240608,9261.272333394323,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,1481800.0,1525252.0,3007052.0,10745.957201186871,11053.911186759511,10899.984033856606,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,1331407.0,1370020.0,2701427.0,12021.358814856369,12365.226917216803,12193.3260301356,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,1291724.0,1336935.0,2628659.0,12151.642831640238,12571.861803884232,12361.794882477689,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,696917.0,772354.0,1469271.0,11308.513402950026,12523.963448652938,11916.44767398022,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,4339.0,2443.0,6782.0,8924.5404293611,5025.61794863553,6975.235830105902,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,2141.0,573.0,2714.0,16891.518737672584,4523.498211422228,10709.414883778283,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,738.0,448.0,1186.0,6306.008010680907,3829.0598290598286,5067.699292295366,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,1167.0,1036.0,2203.0,6281.052897149104,5577.388963660835,5929.265318137853,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,290.0,384.0,674.0,5169.916434540391,6838.0634390651085,6004.454342984411,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
"Frontal pole, layer 6b",FRP6b,0.000515625,0.00053125,0.001046875,3.0,2.0,5.0,5818.181818181818,3764.705882352941,4776.119402985074,11,7,11,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6b,268F45,258F44
Somatomotor areas,MO,12.231046875,12.226390625,24.4574375,105924.0,104859.0,210783.0,8660.256238287044,8576.447720031847,8618.359956966055,6,6,12,root/grey/CH/CTX/CTXpl/Isocortex/MO,1F9D5A,1F9C59
Primary motor area,MOp,5.676734375,5.676359375,11.35309375,49637.0,49924.0,99561.0,8743.935636410679,8795.07386721793,8769.503907249951,8,7,18,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp,1F9D5A,1E9B5A
"Primary motor area, Layer 1",MOp1,0.664609375,0.665328125,1.3299375,5802.0,5795.0,11597.0,8729.940049371107,8709.988022827081,8719.958644673152,11,8,19,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp1,1F9D5A,1E9D5A
"Primary motor area, Layer 2/3",MOp2/3,1.8444375,1.844640625,3.689078125,14250.0,11974.0,26224.0,7725.932703059876,6491.237283684999,7108.551001478181,11,8,20,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp2/3,1F9D5A,1F9C58
"Primary motor area, Layer 5",MOp5,1.636203125,1.6365625,3.272765625,20572.0,21670.0,42242.0,12573.011067925934,13241.16860798167,12907.126522388844,11,8,21,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp5,1F9D5A,1E9C5A
"Primary motor area, Layer 6a",MOp6a,1.437953125,1.438171875,2.876125,8393.0,9771.0,18164.0,5836.768844603332,6794.041915191812,6315.441783649876,11,8,22,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp6a,1F9D5A,1F9B5A
"Primary motor area, Layer 6b",MOp6b,0.09353125,0.09165625,0.1851875,620.0,714.0,1334.0,6628.800534580689,7789.976133651552,7203.509956125548,11,8,23,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp6b,1F9D5A,1D9D5A
Secondary motor area,MOs,6.5543125,6.55003125,13.10434375,56287.0,54935.0,111222.0,8587.780945751367,8386.98288653203,8487.414716971234,8,7,24,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs,1F9D5A,1D9D59
"Secondary motor area, layer 1",MOs1,1.1643125,1.159859375,2.324171875,10565.0,9914.0,20479.0,9074.02437060497,8547.587934959789,8811.310480211365,11,8,25,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs1,1F9D5A,1E9C59
