name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,2253470.0,2660180.0,4913650.0,8978.484569207045,10502.178542596856,9743.82495609566,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,2042720.0,2385789.0,4428509.0,9095.210306869069,10603.133348013373,9849.86773858966,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,1439074.0,1730081.0,3169155.0,10436.109875381831,12538.362001754518,11487.57617121913,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,1263335.0,1549226.0,2812561.0,11406.732380381482,13982.665242881214,12694.94724552772,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,1223984.0,1507844.0,2731828.0,11514.391928649113,14179.003758459474,12846.96774675196,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,699398.0,841396.0,1540794.0,11348.77131279111,13643.501231097123,12496.531325659244,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,2898.0,2938.0,5836.0,5960.663324334748,6043.907299668927,6002.281967634628,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,550.0,469.0,1019.0,4339.250493096647,3702.479338842976,4020.9630680066584,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,706.0,763.0,1469.0,6032.576769025367,6521.367521367521,6276.939511283214,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,1231.0,1324.0,2555.0,6625.515095450341,7127.8600269179005,6876.6558728289665,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
