name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,434128.0,550589.0,984717.0,1729.6931173082914,2173.681473279951,1952.705235271468,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,341232.0,420352.0,761584.0,1519.335397623534,1868.1653361232352,1693.9113529691526,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,163167.0,206534.0,369701.0,1183.2808736982445,1496.807408248728,1340.0948827292714,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,138185.0,175408.0,313593.0,1247.6811882699485,1583.1591678188386,1415.4525329643604,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,131683.0,169065.0,300748.0,1238.782265405676,1589.8019094972365,1414.3276428458007,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,53353.0,92622.0,145975.0,865.7316661633921,1501.894911583461,1183.9228088005975,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,439.0,595.0,1034.0,902.9438231135108,1224.0043714441838,1063.461198515114,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,251.0,498.0,749.0,1980.276134122288,3931.4172936968057,2955.5459646094087,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,103.0,90.0,193.0,880.1068090787717,769.2307692307692,824.6761917478968,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,79.0,5.0,84.0,425.19552602808847,26.917900403768503,226.0818369149249,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,6.0,2.0,8.0,106.96378830083566,35.61491374513078,71.2694877505568,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
"Frontal pole, layer 6b",FRP6b,0.000515625,0.00053125,0.001046875,0.0,0.0,0.0,0.0,0.0,0.0,11,7,11,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6b,268F45,258F44
Somatomotor areas,MO,12.231046875,12.226390625,24.4574375,17122.0,14221.0,31343.0,1399.880171745315,1163.139673528957,1281.5324581735106,6,6,12,root/grey/CH/CTX/CTXpl/Isocortex/MO,1F9D5A,1F9C59
Primary motor area,MOp,5.676734375,5.676359375,11.35309375,8150.0,3991.0,12141.0,1435.6845787768607,703.0914951539692,1069.400135976152,8,7,18,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp,1F9D5A,1E9B5A
"Primary motor area, Layer 1",MOp1,0.664609375,0.665328125,1.3299375,1498.0,1213.0,2711.0,2253.955566004467,1823.1605645710529,2038.4416560928616,11,8,19,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp1,1F9D5A,1E9D5A
"Primary motor area, Layer 2/3",MOp2/3,1.8444375,1.844640625,3.689078125,4753.0,1668.0,6421.0,2576.9374131679715,904.2411716374294,1740.543242087073,11,8,20,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp2/3,1F9D5A,1F9C58
"Primary motor area, Layer 5",MOp5,1.636203125,1.6365625,3.272765625,1268.0,688.0,1956.0,774.9649054117288,420.3933549742219,597.6596628424927,11,8,21,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp5,1F9D5A,1E9C5A
"Primary motor area, Layer 6a",MOp6a,1.437953125,1.438171875,2.876125,512.0,274.0,786.0,356.0616762107597,190.51964842519257,273.28436698683123,11,8,22,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp6a,1F9D5A,1F9B5A
