name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,1636278.0,2632901.0,4269179.0,6519.410852566471,10394.483225564363,8465.831486214833,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,1500818.0,2440490.0,3941308.0,6682.39178268907,10846.240344176773,8766.237692425451,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,1224209.0,1967007.0,3191216.0,8877.91707336198,14255.428402476617,11567.54304501144,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,1057372.0,1709747.0,2767119.0,9547.079302408883,15431.460581619742,12489.837456715575,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,1026483.0,1667164.0,2693647.0,9656.439602229708,15677.168607606842,12667.413955100825,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,584408.0,1024169.0,1608577.0,9482.887776867574,16607.22301074822,13046.281897667675,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,4097.0,8610.0,12707.0,8426.790075845225,17712.063257368776,13069.053626239413,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,842.0,1641.0,2483.0,6642.998027613412,12954.730479832246,9797.891361982858,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,1315.0,2618.0,3933.0,11236.315086782375,22376.068376068375,16805.4479903859,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,1595.0,3405.0,5000.0,8584.643848288622,18331.090174966354,13457.25219731696,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
