name,acronym,count_left,count_right,count_sum,volume_left,volume_right,volume_sum,density_left,density_right,average_density
root,root,1941182.0,1157101.0,3098283.0,250.9855625,253.297921875,504.28348437499994,7734.237701421571,4568.142491792798,6143.931133973101
Basic cell groups and regions,grey,1802201.0,1051528.0,2853729.0,224.5929375,225.007921875,449.600859375,8024.299517432511,4673.293238911658,6347.249878407775
Cerebrum,CH,1482618.0,793274.0,2275892.0,137.89371875,137.983015625,275.876734375,10751.889306052964,5749.069886658378,8249.669930144866
Cerebral cortex,CTX,1267706.0,661388.0,1929094.0,110.753453125,110.7961875,221.549640625,11446.19841847482,5969.411176715806,8707.276592992668
Cortical plate,CTXpl,1232191.0,635741.0,1867932.0,106.300359375,106.3434375,212.643796875,11591.597688330958,5978.187417535756,8784.3239607786
Isocortex,Isocortex,750645.0,322646.0,1073291.0,61.627640625,61.67009375,123.297734375,12180.330001072469,5231.806543183664,8704.872035488284
"Frontal pole, cerebral cortex",FRP,7754.0,2916.0,10670.0,0.4861875,0.486109375,0.9722968750000001,15948.57950893431,5998.6499951785545,10974.014495315538
"Frontal pole, layer 1",FRP1,1767.0,766.0,2533.0,0.12675,0.126671875,0.253421875,13940.828402366864,6047.119773035649,9995.190825574942
"Frontal pole, layer 2/3",FRP2/3,2465.0,811.0,3276.0,0.11703125,0.117,0.23403125000000002,21062.75033377837,6931.623931623932,13998.13059153425
"Frontal pole, layer 5",FRP5,2792.0,985.0,3777.0,0.185796875,0.18575,0.371546875,15027.16340089143,5302.826379542395,10165.608309853233
"Frontal pole, layer 6a",FRP6a,728.0,353.0,1081.0,0.05609375,0.05615625,0.11224999999999999,12978.272980501391,6286.032276015581,9630.289532293988
"Frontal pole, layer 6b",FRP6b,2.0,1.0,3.0,0.000515625,0.00053125,0.001046875,3878.7878787878785,1882.3529411764705,2865.6716417910447
Somatomotor areas,MO,138645.0,64426.0,203071.0,12.231046875,12.226390625,24.4574375,11335.497395843311,5269.4210397845845,8303.036652960884
